what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1638190075566
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1638190076745
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1638190079048
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1638190079161
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1638190079246
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1638190079669
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1638190081554
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1638190108745
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1638190137245
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1638190145840
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1638190148910
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1638190152217
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1638190169487
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1638190173550
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1638190173639
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1638190173715
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1638190176004
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1638190191761
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1638190199216
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1638190205800
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1638190207079
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1638190208851
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1638190214631
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1638190225370
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1638190231617
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1638190234415
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1638190236648
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1638190239362
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1638190270583
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1638190276454
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1638190290379
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1638190328427
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1638190329690
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1638190333773
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1638190338879
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1638190340860
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1638190368157
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1638190370180
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1638190374867
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1638190376825
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1638190399050
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1638190401374
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1638190404025
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1638190411898
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1638190412099
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1638190412157
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1638190425838
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1638190430721
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1638190431472
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1638190442200
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1638190442403
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1638190444596
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1638190447961
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.format",1638190474068
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.indent",1638190502180
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1638190534095
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1638190569957
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1638190599599
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1638190605005
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1638190641658
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1638190659563
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1638190664940
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1638190675159
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1638190716283
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1638190729731
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1638190736838
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1638190756774
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1638190769310
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.override.methods",1638190769317
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1638190788197
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1638190791843
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1638190793126
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1638190793832
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1638190857313
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1638190861670
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1638190864084
